userId,cp_content_id,cp_name,curr_play_time_min,content_series_id,episode_id,playtime,content_series_name,content_category,streams_flag_final,content_season_id,playablecontent_ty,duration_secs,content_t,event_type,user_session_id,playablecontent_epinum,total_play_time_sec,playablecontent_tvsid,playablecontent_sid,episode_number,content_content_type,content_id,play_session_id,day
SqmoatFyhQItbto2j0,amzn1.dv.gti.97042393-152e-40bb-9f48-1ed3e5b77570,MINITV,0.0,MINITV_TVSHOW_amzn1.dv.gti.41b3be5f-8c1e-42fb-9aa8-d5de6dfa7416,,1.3139,Lovely Runner,VOD,play_start,MINITV_TVSHOW_amzn1.dv.gti.41b3be5f-8c1e-42fb-9aa8-d5de6dfa7416_SEASON_amzn1.dv.gti.54a693e5-dccf-4fe7-9321-04938df6be74,EPISODE,3682.0,Episode 7,play_init,6490c54d-a721-45b3-896d-4a7e712eaf00-1772000451170,7.0,78.351,MINITV_TVSHOW_amzn1.dv.gti.41b3be5f-8c1e-42fb-9aa8-d5de6dfa7416,MINITV_TVSHOW_amzn1.dv.gti.41b3be5f-8c1e-42fb-9aa8-d5de6dfa7416_SEASON_amzn1.dv.gti.54a693e5-dccf-4fe7-9321-04938df6be74,7.0,EPISODE,MINITV_EPISODE_amzn1.dv.gti.97042393-152e-40bb-9f48-1ed3e5b77570,d839aec4-23bb-485b-9e5a-d0a025366042,2026-02-25
8XIHf48LrGGISd2nx0,amzn1.dv.gti.a6250ae2-06b9-4cae-8592-1a0f2e685509,MINITV,0.0,MINITV_TVSHOW_amzn1.dv.gti.3bd7c93b-f4db-49ec-b5a1-377b314e700b,,16.682783333333333,Golden Boy,VOD,play_start,MINITV_TVSHOW_amzn1.dv.gti.3bd7c93b-f4db-49ec-b5a1-377b314e700b_SEASON_amzn1.dv.gti.40ee88b5-45af-4452-9d76-760ca8bfefa6,EPISODE,2557.0,Episode 76,play_pause,cbea05e8-fcdd-4d71-a054-755b355a1e18-1771996883736,76.0,1000.967,MINITV_TVSHOW_amzn1.dv.gti.3bd7c93b-f4db-49ec-b5a1-377b314e700b,MINITV_TVSHOW_amzn1.dv.gti.3bd7c93b-f4db-49ec-b5a1-377b314e700b_SEASON_amzn1.dv.gti.40ee88b5-45af-4452-9d76-760ca8bfefa6,76.0,EPISODE,MINITV_EPISODE_amzn1.dv.gti.a6250ae2-06b9-4cae-8592-1a0f2e685509,c7854933-04e6-4027-9838-e6d165120975,2026-02-25
ZuZKNPS_vLpBphj090,amzn1.dv.gti.b5350206-daa4-44d8-8dc8-b1bd05734a13,MINITV,0.0,MINITV_TVSHOW_amzn1.dv.gti.5ee35d32-83f4-49da-8db2-1ee2201a363f,,21.524016666666668,Demon Slayer,VOD,play_session_end,MINITV_TVSHOW_amzn1.dv.gti.5ee35d32-83f4-49da-8db2-1ee2201a363f_SEASON_amzn1.dv.gti.5957f704-a3cf-4180-84e7-4c93f9f9d3f8,EPISODE,1581.0,Episode 1,frame_dropped,ef4d9179-dc2b-43f2-9715-16c6c79395c9-1771956032926,1.0,1291.441,MINITV_TVSHOW_amzn1.dv.gti.5ee35d32-83f4-49da-8db2-1ee2201a363f,MINITV_TVSHOW_amzn1.dv.gti.5ee35d32-83f4-49da-8db2-1ee2201a363f_SEASON_amzn1.dv.gti.5957f704-a3cf-4180-84e7-4c93f9f9d3f8,1.0,EPISODE,MINITV_EPISODE_amzn1.dv.gti.b5350206-daa4-44d8-8dc8-b1bd05734a13,b4c8dfe6-0b1f-4dba-94fa-867f0b7be766,2026-02-25
qZu3lnpbLyZbANmOR0,amzn1.dv.gti.32b2fc28-008e-981f-af1b-d171c578d392,MINITV,0.0,,,135.52083333333334,,VOD,play_start,,MOVIE,8376.0,Satyameva Jayate,player_log,1b3373db-db84-4008-86c1-8e1e6b8c7171-1772034239210,,8131.25,,,,MOVIE,MINITV_MOVIE_amzn1.dv.gti.32b2fc28-008e-981f-af1b-d171c578d392,0bd39a95-0e2b-41a5-8d59-67cb56b66f18,2026-02-25
5ssd3wDDQF0SnFP800,amzn1.dv.gti.e6c3bee4-fea9-4d10-ac7b-61dd7f026d47,MINITV,0.0,,,63.27283333333334,,VOD,play_start,,MOVIE,9840.0,Jailer,player_log,716eac31-d737-4a2d-9dbd-d529b7fbb304-1772002211214,,3795.927,,,,MOVIE,MINITV_MOVIE_amzn1.dv.gti.e6c3bee4-fea9-4d10-ac7b-61dd7f026d47,fe2aa43d-9b0a-46ec-9401-d7410fd9a272,2026-02-25
OrupM71SoUr4UvL770,amzn1.dv.gti.e6c3bee4-fea9-4d10-ac7b-61dd7f026d47,MINITV,0.0,,,0.9744666666666666,,VOD,play_start,,MOVIE,9840.0,Jailer,play_pause,d52c73fd-5a38-4e1f-a597-4ce8614caa92-1772009866551,,57.793,,,,MOVIE,MINITV_MOVIE_amzn1.dv.gti.e6c3bee4-fea9-4d10-ac7b-61dd7f026d47,ddc52aa8-fc93-4c59-8cf5-97e1f54dba5f,2026-02-25
XoFpOHJQJYS_NCrFp0,PLAYFLIX_EPISODE_411_1,PLAYFLIX,0.0,PLAYFLIX_TVSHOW_ATL0000015623,,16.489066666666666,Best Mistake 2 (Tamil),VOD,play_start,PLAYFLIX_TVSHOW_ATL0000015623_SEASON_1,EPISODE,1800.0,Best Mistake 2 (Tamil),play_pause,5df7e058-2621-4b6a-a788-bc3d29baae2c-1771963490334,1.0,989.037,PLAYFLIX_TVSHOW_ATL0000015623,PLAYFLIX_TVSHOW_ATL0000015623_SEASON_1,1.0,EPISODE,PLAYFLIX_EPISODE_411_1,448280e2-f8c2-432d-8d9e-ae1438c06ac4,2026-02-25
LPDIoq16cNb2rhwde0,1000021241,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,19.299283333333335,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_1,EPISODE,1154.0,Taarak Mehta Ka Ooltah Chashmah – An Enraged Jethalal Threatens Bhide,player_log,90307371-1772005228063,48.0,1155.0,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_1,48.0,EPISODE,SONYLIV_VOD_EPISODE_1000021241,90307371-1772005228063-34359937-1772006500585,2026-02-25
7Gth4ylIj1f3jszhk0,1000028628,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000003,,20.821416666666668,Tenali Rama,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000003_SEASON_1,EPISODE,1259.0,Rama Got Hypnotized,play_start,24fde6d8-0013-45ea-8e10-518b0006bd73-1772036126045,120.0,1248.199,SONYLIV_VOD_TVSHOW_1700000003,SONYLIV_VOD_TVSHOW_1700000003_SEASON_1,120.0,EPISODE,SONYLIV_VOD_EPISODE_1000028628,ade4b047-a865-45f3-80b9-6476424e38e7,2026-02-25
_HEDsEIx3AOy322Gi0,1000037016,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,0.05291666666666666,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_6,EPISODE,1182.0,Taarak Mehta Ka Ooltah Chashmah – Strength In Unity,ready_to_play,f0639687-5d33-4b11-8c77-e58ac73f6ec5-1772005405477,518.0,3.175,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_6,518.0,EPISODE,SONYLIV_VOD_EPISODE_1000037016,394db107-eb50-4faa-b629-d4c695ba9e10,2026-02-25
Xkk52nGAWVf_4gcAF0,1000115937,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,22.2348,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_32,EPISODE,1359.0,Taarak Mehta Ka Ooltah Chashmah – Good News For Everyone,player_log,90ad9a91-216b-44eb-b1f2-da0515fa1e10-1772003479539,3148.0,1334.088,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_32,3148.0,EPISODE,SONYLIV_VOD_EPISODE_1000115937,658550cc-1c4f-4eb8-ad17-d64cb3e8f65c,2026-02-25
lY34sM-6mTfr5HvnZ0,1000181120,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000181,,20.588116666666668,Maddam Sir,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000181_SEASON_6,EPISODE,1261.0,Foreign Delegation,ready_to_play,453716f9-470b-429e-8be1-a9a2f2b5ce56-1772039459084,565.0,1235.287,SONYLIV_VOD_TVSHOW_1700000181,SONYLIV_VOD_TVSHOW_1700000181_SEASON_6,565.0,EPISODE,SONYLIV_VOD_EPISODE_1000181120,a9d126d2-eae4-4b4e-8d40-7aaf5fb9b6f5,2026-02-25
